iter,amp,temp_eV,m0,m2
1,30958371.5349,18204.6444904,2.487132e+20,9.757100e+05
2,38711071.3412,24143.5598994,3.871945e+20,1.877535e+06
3,31092950.0466,16639.9924212,2.318176e+20,8.484878e+05
4,36571160.4965,19757.2336458,3.138479e+20,1.310325e+06
5,36413677.9812,19688.5041521,3.116322e+20,1.297650e+06
6,36394538.3326,19680.096831,3.113626e+20,1.296109e+06
7,36386856.3961,19676.7125902,3.112543e+20,1.295489e+06
8,36382695.0117,19674.8825304,3.111957e+20,1.295154e+06
9,36380083.2266,19673.7332606,3.111589e+20,1.294944e+06
10,36378292.3946,19672.9426644,3.111336e+20,1.294799e+06
