iter,amp,temp_eV,m0,m2
1,133.489434322,25141.1582175,3.786644e+20,1.575955e+06
2,109.634776029,20643.4047867,2.824408e+20,9.725808e+05
3,120.719330671,27466.0051123,3.575908e+20,1.621037e+06
4,109.665249216,25122.7345377,3.109717e+20,1.293311e+06
5,109.654895935,25130.1087805,3.109870e+20,1.293741e+06
6,109.652376443,25131.9043266,3.109907e+20,1.293846e+06
7,109.651247182,25132.7108003,3.109924e+20,1.293893e+06
8,109.650603302,25133.1695743,3.109933e+20,1.293920e+06
9,109.650195027,25133.4636856,3.109939e+20,1.293937e+06
10,109.649910498,25133.6693606,3.109944e+20,1.293949e+06
1,133.489434322,25141.1582175,3.786644e+20,1.575955e+06
2,109.649814086,25133.7377782,3.109945e+20,1.293953e+06
3,109.649639408,25133.8633934,3.109948e+20,1.293960e+06
4,109.649497461,25133.9640578,3.109950e+20,1.293966e+06
5,109.649382998,25134.0455523,3.109952e+20,1.293971e+06
6,109.649287639,25134.1128814,3.109953e+20,1.293975e+06
7,109.64920917,25134.1692054,3.109954e+20,1.293978e+06
8,109.649141982,25134.2176061,3.109955e+20,1.293981e+06
9,109.649084538,25134.2591616,3.109956e+20,1.293983e+06
10,109.649032853,25134.2960312,3.109957e+20,1.293985e+06
