iter,amp,temp_eV,m0,m2
1,31019560.5328,18149.4757841,2.378741e+20,9.282301e+05
2,40554999.5193,25301.6182148,4.008859e+20,2.002906e+06
3,31461508.1413,16346.60583,2.211975e+20,7.964809e+05
4,38187590.993,19878.3160275,3.149895e+20,1.316613e+06
5,37951220.6267,19784.8654792,3.118792e+20,1.299010e+06
6,37922919.8431,19773.5534546,3.115060e+20,1.296899e+06
7,37911530.0111,19768.9859491,3.113557e+20,1.296048e+06
8,37905353.53,19766.50926,3.112742e+20,1.295587e+06
9,37901474.4113,19764.951571,3.112230e+20,1.295297e+06
10,37898808.4967,19763.8816423,3.111878e+20,1.295098e+06
