iter,amp,temp_eV,m0,m2
1,30975590.4361,18282.7074073,2.659856e+20,1.050344e+06
2,36217409.7088,22524.1706932,3.668363e+20,1.696836e+06
3,30704427.1874,17177.0587122,2.503428e+20,9.419639e+05
4,34357183.5943,19622.7886942,3.124596e+20,1.302532e+06
5,34284681.2775,19585.6097145,3.113265e+20,1.295936e+06
6,34275724.7061,19580.994977,3.111863e+20,1.295120e+06
7,34272135.6373,19579.1429204,3.111301e+20,1.294793e+06
8,34270196.4677,19578.140295,3.110997e+20,1.294616e+06
9,34268980.7238,19577.5112107,3.110807e+20,1.294505e+06
10,34268144.38,19577.0802826,3.110676e+20,1.294429e+06
