iter,amp,temp_eV,m0,m2
1,39898342.6134,19923.3393376,3.257179e+20,1.348821e+06
2,43037384.6211,21589.6850828,3.734599e+20,1.638950e+06
3,40488765.6516,19253.9170942,3.218544e+20,1.299969e+06
4,42852399.2423,20060.2569015,3.516889e+20,1.463643e+06
5,42833537.8103,20051.8003731,3.514198e+20,1.462075e+06
6,42831221.1995,20050.7576163,3.513867e+20,1.461882e+06
7,42830313.6589,20050.3491538,3.513738e+20,1.461806e+06
8,42829822.6001,20050.1341605,3.513668e+20,1.461766e+06
9,42829521.7673,20049.9986123,3.513625e+20,1.461741e+06
10,42829316.9903,20049.9059516,3.513596e+20,1.461724e+06
11,42829167.7811,20049.838783,3.513575e+20,1.461711e+06
12,42829051.5134,20049.7894355,3.513559e+20,1.461702e+06
13,42828960.9145,20049.7501607,3.513546e+20,1.461694e+06
14,42828886.7168,20049.719463,3.513536e+20,1.461689e+06
15,42828827.558,20049.6928822,3.513527e+20,1.461684e+06
16,42828778.9635,20049.6703922,3.513520e+20,1.461679e+06
17,42828735.5921,20049.6525685,3.513514e+20,1.461676e+06
18,42828699.2701,20049.6366549,3.513509e+20,1.461673e+06
19,42828667.4451,20049.6229192,3.513505e+20,1.461670e+06
20,42828638.0348,20049.61158,3.513501e+20,1.461668e+06
