iter,amp,temp_eV,m0,m2
1,30854916.3067,18497.8733719,3.159333e+20,1.257843e+06
2,34313230.7694,21494.8223146,3.959659e+20,1.765678e+06
3,30446436.2946,17793.4780972,3.019340e+20,1.166822e+06
4,32784527.5874,19623.0830863,3.521352e+20,1.466379e+06
5,32754124.2084,19603.1808459,3.515227e+20,1.462705e+06
6,32750340.369,19600.69753,3.514464e+20,1.462247e+06
7,32748827.5139,19599.7073383,3.514160e+20,1.462065e+06
8,32748012.0673,19599.1715141,3.513995e+20,1.461966e+06
9,32747501.7895,19598.8361998,3.513892e+20,1.461904e+06
10,32747151.3001,19598.6069593,3.513822e+20,1.461862e+06
11,32746895.4848,19598.4398011,3.513770e+20,1.461831e+06
12,32746701.539,19598.3124004,3.513731e+20,1.461808e+06
13,32746549.842,19598.2113437,3.513700e+20,1.461789e+06
14,32746426.6763,19598.1304572,3.513675e+20,1.461774e+06
15,32746325.2009,19598.0638239,3.513655e+20,1.461762e+06
16,32746239.9091,19598.0078243,3.513638e+20,1.461752e+06
17,32746167.6056,19597.959861,3.513623e+20,1.461743e+06
18,32746105.4805,19597.9186196,3.513611e+20,1.461735e+06
19,32746050.0763,19597.8835545,3.513600e+20,1.461729e+06
20,32746002.1922,19597.8521314,3.513590e+20,1.461723e+06
