iter,amp,temp_eV,m0,m2
1,167.08296763,25127.2323251,3.643151e+20,1.515880e+06
2,161.134171496,24228.0424918,3.449949e+20,1.385933e+06
3,164.099635931,25551.3932134,3.608201e+20,1.525787e+06
4,161.151240443,25121.9115024,3.513440e+20,1.461610e+06
5,161.150452068,25122.1642313,3.513441e+20,1.461624e+06
6,161.150240292,25122.2291963,3.513441e+20,1.461628e+06
7,161.150149795,25122.2566613,3.513441e+20,1.461629e+06
8,161.150091178,25122.2743521,3.513441e+20,1.461630e+06
9,161.150053124,25122.2857382,3.513440e+20,1.461631e+06
10,161.15003994,25122.2916019,3.513441e+20,1.461631e+06
11,161.150019354,25122.2976692,3.513441e+20,1.461632e+06
12,161.150007782,25122.3009686,3.513441e+20,1.461632e+06
13,161.149997411,25122.3039255,3.513441e+20,1.461632e+06
14,161.149988015,25122.3066043,3.513441e+20,1.461632e+06
15,161.149979427,25122.3090529,3.513441e+20,1.461632e+06
16,161.149971519,25122.3113076,3.513440e+20,1.461632e+06
17,161.149969302,25122.3128528,3.513441e+20,1.461633e+06
