iter,amp,temp_eV,m0,m2
1,30958371.5349,18204.6444904,2.555258e+20,9.956409e+05
2,42567289.1456,26725.0156379,4.683336e+20,2.414623e+06
3,31933999.8418,16177.3406041,2.390463e+20,8.514241e+05
4,40106374.3833,20054.3260158,3.574955e+20,1.497055e+06
5,39781083.9424,19915.4574955,3.526776e+20,1.469316e+06
6,39742819.94,19898.8080239,3.521081e+20,1.466037e+06
7,39727544.2594,19892.1307472,3.518803e+20,1.464725e+06
8,39719307.5717,19888.5208848,3.517575e+20,1.464017e+06
9,39714147.2695,19886.2584303,3.516805e+20,1.463573e+06
10,39710609.8709,19884.7074455,3.516277e+20,1.463269e+06
11,39708035.0017,19883.576627,3.515892e+20,1.463048e+06
12,39706079.3718,19882.7139434,3.515600e+20,1.462879e+06
13,39704539.5554,19882.0361822,3.515370e+20,1.462747e+06
14,39703298.2014,19881.487838,3.515184e+20,1.462639e+06
15,39702273.7598,19881.0370214,3.515031e+20,1.462551e+06
16,39701415.3804,19880.6586369,3.514903e+20,1.462477e+06
17,39700684.8629,19880.3369412,3.514793e+20,1.462414e+06
18,39700057.1799,19880.0595459,3.514700e+20,1.462360e+06
19,39699510.1472,19879.818426,3.514618e+20,1.462313e+06
20,39699030.4893,19879.6064159,3.514546e+20,1.462272e+06
