iter,amp,temp_eV,m0,m2
1,30657257.3675,18907.9098163,3.705463e+20,1.496838e+06
2,29068556.162,18463.2103118,3.446065e+20,1.367383e+06
3,29636890.6747,19735.8363342,3.707586e+20,1.546311e+06
4,28163703.3335,19671.6585197,3.514156e+20,1.462099e+06
5,28161961.2615,19669.3072462,3.513603e+20,1.461740e+06
6,28161747.4497,19669.0001083,3.513533e+20,1.461694e+06
7,28161662.6941,19668.8788812,3.513505e+20,1.461675e+06
8,28161614.3865,19668.8168291,3.513490e+20,1.461666e+06
9,28161587.1002,19668.7759129,3.513481e+20,1.461660e+06
10,28161568.166,19668.7479657,3.513475e+20,1.461656e+06
11,28161554.1375,19668.7275695,3.513470e+20,1.461653e+06
12,28161544.329,19668.7116325,3.513467e+20,1.461650e+06
13,28161534.2424,19668.7008089,3.513464e+20,1.461648e+06
14,28161525.9533,19668.6923532,3.513462e+20,1.461647e+06
15,28161519.5093,19668.6849141,3.513460e+20,1.461646e+06
16,28161514.61,19668.6783262,3.513458e+20,1.461645e+06
17,28161511.0228,19668.6724613,3.513457e+20,1.461644e+06
18,28161507.3976,19668.667743,3.513456e+20,1.461643e+06
19,28161503.7393,19668.6640211,3.513455e+20,1.461643e+06
20,28161501.3289,19668.6600675,3.513454e+20,1.461642e+06
