iter,amp,temp_eV,m0,m2
1,200,25000,4.739705e+20,1.141460e+33
2,133.853815797,16826.0276313,2.642852e+20,4.315760e+32
3,160.660822299,29952.0532067,4.143256e+20,1.192439e+33
4,133.391419298,25121.1166951,3.168294e+20,7.666579e+32
5,133.455436907,25134.2182529,3.170583e+20,7.676059e+32
6,133.471673612,25137.533626,3.171164e+20,7.678461e+32
7,133.479075572,25139.0483607,3.171428e+20,7.679558e+32
8,133.4833255,25139.9140455,3.171580e+20,7.680186e+32
9,133.486076696,25140.4751797,3.171678e+20,7.680593e+32
10,133.488007223,25140.8677994,3.171747e+20,7.680878e+32
1,133.489434322,25141.1582175,3.786644e+20,1.575955e+06
2,44.4638064327,89856.1596201,8.581405e+18,1.122761e+05
3,87.7168389305,269568.47886,1.977978e+01,1.219286e-12
4,35.8132132093,68849.5943235,1.337048e+20,1.461713e+06
5,34.9479116952,68348.3076683,1.329854e+20,1.445446e+06
6,34.3874315853,68010.9503754,1.324101e+20,1.433503e+06
7,33.9728837704,67754.5773983,1.319268e+20,1.423930e+06
8,33.6439080787,67546.7763993,1.315070e+20,1.415872e+06
9,33.3711659611,67371.4671242,1.311341e+20,1.408876e+06
10,33.1381940662,67219.4787232,1.307974e+20,1.402669e+06
