iter,amp,temp_eV,m0,m2
1,30980324.7857,18046.7045563,2.232415e+20,8.627742e+05
2,43158560.6593,27067.0308954,4.206657e+20,2.187289e+06
3,31906985.0129,16013.0592141,2.082714e+20,7.348719e+05
4,40379724.8746,20096.6726388,3.168751e+20,1.326952e+06
5,40003023.9132,19961.7085546,3.122800e+20,1.301208e+06
6,39958895.3963,19945.6087945,3.117398e+20,1.298181e+06
7,39941059.3694,19939.0844301,3.115213e+20,1.296958e+06
8,39931380.9742,19935.5290684,3.114026e+20,1.296292e+06
9,39925289.5902,19933.2924124,3.113279e+20,1.295874e+06
10,39921104.5528,19931.751003,3.112765e+20,1.295586e+06
