iter,amp,temp_eV,m0,m2
1,200,25000,3.264420e+20,7.869643e+32
2,194.346193198,24405.474937,3.134368e+20,7.379278e+32
3,196.688118497,25408.3040612,3.236353e+20,7.927386e+32
4,193.894183166,25117.2149909,3.172136e+20,7.682459e+32
5,193.89401671,25117.2775488,3.172137e+20,7.682480e+32
6,193.89397925,25117.2932928,3.172138e+20,7.682486e+32
7,193.893947813,25117.3014755,3.172138e+20,7.682488e+32
1,193.893947813,25117.3014755,3.208952e+20,1.334869e+06
2,180.145262984,27339.9993244,3.109999e+20,1.404149e+06
3,180.127251897,27344.1775144,3.109925e+20,1.404323e+06
4,180.119009233,27346.6498452,3.109923e+20,1.404445e+06
5,180.113468368,27348.3232,3.109922e+20,1.404527e+06
6,180.109293903,27349.5882033,3.109922e+20,1.404590e+06
7,180.105941039,27350.6042095,3.109921e+20,1.404640e+06
8,180.103143971,27351.4546578,3.109921e+20,1.404682e+06
9,180.100741533,27352.1851479,3.109921e+20,1.404719e+06
10,180.098635922,27352.8253725,3.109921e+20,1.404750e+06
