iter,amp,temp_eV,m0,m2
1,30975590.4361,18282.7074073,2.711989e+20,1.063538e+06
2,40129552.0438,25126.1525195,4.479109e+20,2.221637e+06
3,31477868.9361,16530.7054088,2.535456e+20,9.206185e+05
4,37949866.039,19898.4351775,3.555564e+20,1.485954e+06
5,37740865.4292,19803.6006008,3.522697e+20,1.466979e+06
6,37715807.0448,19792.0867041,3.518743e+20,1.464696e+06
7,37705800.5828,19787.4782625,3.517164e+20,1.463784e+06
8,37700399.8466,19784.9895191,3.516311e+20,1.463292e+06
9,37697020.6997,19783.4279955,3.515777e+20,1.462983e+06
10,37694702.4727,19782.3586313,3.515411e+20,1.462772e+06
11,37693015.3696,19781.5784512,3.515144e+20,1.462618e+06
12,37691732.3581,19780.9841615,3.514941e+20,1.462501e+06
13,37690724.101,19780.515991,3.514781e+20,1.462408e+06
14,37689909.2116,19780.1389968,3.514652e+20,1.462334e+06
15,37689238.8729,19779.8273907,3.514546e+20,1.462273e+06
16,37688677.3456,19779.5656013,3.514457e+20,1.462221e+06
17,37688198.7255,19779.3436078,3.514381e+20,1.462177e+06
18,37687786.6305,19779.1525982,3.514316e+20,1.462140e+06
19,37687428.9627,19778.9856719,3.514259e+20,1.462107e+06
20,37687115.0061,19778.8391676,3.514209e+20,1.462078e+06
