iter,amp,temp_eV,m0,m2
1,133.489434322,25141.1582175,3.786644e+20,1.575955e+06
2,109.634776029,20643.4047867,2.824408e+20,9.725808e+05
3,120.719330671,27466.0051123,3.575908e+20,1.621037e+06
4,109.665249216,25122.7345377,3.109717e+20,1.293311e+06
5,109.654895935,25130.1087805,3.109870e+20,1.293741e+06
6,109.652376443,25131.9043266,3.109907e+20,1.293846e+06
7,109.651247182,25132.7108003,3.109924e+20,1.293893e+06
8,109.650603302,25133.1695743,3.109933e+20,1.293920e+06
9,109.650195027,25133.4636856,3.109939e+20,1.293937e+06
10,109.649910498,25133.6693606,3.109944e+20,1.293949e+06
