iter,amp,temp_eV,m0,m2
1,30657257.3675,18907.9098163,3.647960e+20,1.476866e+06
2,26136001.7289,16566.9396282,2.785918e+20,1.019594e+06
3,29176066.4122,21025.9137385,3.777957e+20,1.654862e+06
4,25412811.0937,19676.6275601,3.122701e+20,1.302456e+06
5,25383731.6473,19627.6528399,3.112909e+20,1.295965e+06
6,25379969.1682,19621.2992306,3.111640e+20,1.295125e+06
7,25378486.506,19618.7819018,3.111138e+20,1.294792e+06
8,25377690.0953,19617.4323061,3.110869e+20,1.294614e+06
9,25377193.6182,19616.5887634,3.110701e+20,1.294502e+06
10,25376852.2126,19616.0133791,3.110586e+20,1.294426e+06
