iter,amp,temp_eV,m0,m2
1,200,25000,3.787565e+20,9.127122e+32
2,167.502762329,21043.0379916,2.914456e+20,5.928989e+32
3,182.312540484,27266.543108,3.603501e+20,9.458454e+32
4,167.080453247,25123.19642,3.171811e+20,7.680375e+32
5,167.082123308,25125.8584573,3.172009e+20,7.681654e+32
6,167.082516113,25126.5197668,3.172057e+20,7.681971e+32
7,167.082707025,25126.8179131,3.172079e+20,7.682114e+32
8,167.082817927,25126.9879688,3.172092e+20,7.682196e+32
9,167.082885381,25127.0982677,3.172100e+20,7.682249e+32
10,167.082934375,25127.1751996,3.172106e+20,7.682286e+32
1,167.08296763,25127.2323251,3.655769e+20,1.521282e+06
2,91.1856895938,61699.9786983,3.028078e+20,3.015402e+06
3,91.5481751665,64351.9897848,2.978268e+20,3.079048e+06
4,92.1293300062,66449.3502402,2.882879e+20,3.062734e+06
5,93.1382977554,68964.5233238,2.685989e+20,2.940483e+06
6,95.3883278844,73605.7109339,2.080163e+20,2.390879e+06
7,130.94798611,157399.859711,1.255491e+03,2.425047e-11
8,90.7722144397,66436.0007846,2.841334e+20,3.018094e+06
9,90.5896380467,66601.1361319,2.824055e+20,3.005920e+06
10,90.4320090325,66742.1858409,2.808952e+20,2.995074e+06
